Id,Name,Name en,Region,Created at,Updated at
460,ငရုတ်ကောင်း,,1,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
459,အမာ,,1,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
458,တုံတာ,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
457,ပုံပါကျင်,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
456,မိုင်းဖျန်,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
455,မိုင်းငေါ့,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
454,မိုင်းခုတ်,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
453,မော်ထိုက်,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
452,ခိုလမ်,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
451,ကျိူင်းလပ်,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
450,ဟိုမိန်း,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
449,အင်တော,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
448,အောင်ပန်း,,13,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
447,တောင်ပြိုလက်ဝဲ,,11,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
446,မအီ,,11,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
445,ကျိန္တလီ,,11,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
444,ဥတ္တရသီရိ,,8,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
443,ကျောက်ထု,,7,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
442,ပလောက်,,14,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
441,ပြည်ကြီးမဏ္ဍိုင်,,14,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
440,မြိတ်အနောက်,,14,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
439,ကရသူရိ,,14,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
438,ကလိန်အောင်,,14,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
437,ပန်ဆောင်,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
436,မြို့သစ်,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
435,မိုပိုင်းလွတ်,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
434,ခမ်းပတ်,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
433,ကျောက်မြောင်း,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
432,ထန်ပါခွေ,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
431,ဆွမ္မရာ,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
430,ဒုံဟီး,,12,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
429,ရေဇွာ,,3,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
428,ရိဒ်ခေါဒါရ်,,3,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
427,ဆမီး,,3,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
426,ကျီခါး,,3,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
425,ရှမ်းရွာသစ်,,6,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
424,ဝေါလေမြိုင်,,6,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
423,စုကလိ,,6,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
422,လိပ်သို,,6,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
421,ကမမောင်း,,6,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
420,ဘုရားသုံးဆူ,,6,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
419,ဘောဂလိ,,6,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
418,ရွာသစ်,,5,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
417,မယ်စဲ့,,5,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
416,ရှင်ဗွေယန်,,4,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
415,ဆဒုံး,,4,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
414,ပန်ဝါ,,4,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
413,ပန်နန်းဒင်,,4,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
412,မြို့လှ,,4,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
411,ကန်ပိုက်တီ,,4,2024-07-31 05:45:26 UTC,2024-07-31 05:45:26 UTC
410,ကာမိုင်း,,4,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
409,ခမောက်ကြီး ,,14,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
408,ငါးသိုင်းချောင်း,,1,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
407,ခနောင်,,1,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
406,အင်္ဂပူ,,1,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
405,ဟိုင်းကြီးကျွန်း,,1,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
404,တာလေ,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
403,တာမိုးညဲ,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
402,ပင်လုံ,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
401,နမ့်မတူ,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
400,မန်တုန်,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
399,မိုင်းရှုး,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
398,လွှိုင်လင်,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
397,ကျိုင်းတောင်း,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
396,ချင်းရွှေဟော် မြို့နယ်ခွဲ,,13,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
395,ပုဏ္ဏကျွန်း,,11,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
394,မောင်းတော,,11,2024-07-31 05:45:25 UTC,2024-07-31 05:45:25 UTC
